local_compania,ano,origem_cacau,ingredientes,caracteristicas,percentagem_cacau,ID
U.S.A.,2013,Dominican Republic,"3- B,S,C","gritty, sweet, brownie",68%,355
U.K.,2018,Bolivia,"3- B,S,C","dirt, earthy, floral",70%,356
U.K.,2018,Guatemala,"3- B,S,C",roasty and under refined,70%,357
U.S.A.,2014,Ecuador,"3- B,S,C","sweet, sour dairy",60%,358
U.S.A.,2014,Trinidad,"3- B,S,C","high roast, coffee, spicy",72%,359
U.S.A.,2014,Belize,"3- B,S,C","roasty, fruit, mild metallic",72%,360
U.S.A.,2014,Blend,"3- B,S,C","coffee, high roast, spicy",72%,361
U.S.A.,2014,Ecuador,"3- B,S,C","floral, mild citrus, orange",72%,362
South Korea,2019,Ecuador,"2- B,S","smokey, sour",70%,363
Taiwan,2019,Taiwan,"2- B,S*","molasses, sour notes",70%,364
Taiwan,2019,Philippines,"2- B,S*",base cocoa w/ palm notes,70%,365
Canada,2019,Guatemala,"4- B,S,C,L","off pungent, grassy, melon",70%,366
Canada,2019,Guatemala,"4- B,S,C,L","vegetal, unique",70%,367
Canada,2019,Bolivia,"4- B,S,C,L",subtle but refreshing,70%,368
Puerto Rico,2015,Puerto Rico,"2- B,S","dirt, floral, sweet",70%,369
U.S.A.,2010,Venezuela,"2- B,S","over roasted, bitter, nutty",75%,370
U.S.A.,2010,Dominican Republic,"2- B,S","oily, buttery, intense",75%,371
U.S.A.,2010,Dominican Republic,"2- B,S","creamy, burnt wood",75%,372
U.S.A.,2014,Peru,"2- B,S","roasty, almost burnt, intense",75%,373
France,2007,Venezuela,"5- B,S,C,V,L","sandy, dairy, cocoa",72%,374
France,2007,Mexico,"5- B,S,C,V,L","creamy, woody, cocoa",66%,375
France,2008,Tanzania,"5- B,S,C,V,L","dry, flat flavor, astringent",75%,376
France,2010,Dominican Republic,"5- B,S,C,V,L","spice, fruit medley, roasty",70%,377
France,2016,Haiti,"5- B,S,C,V,L","gritty, sweet, citrus",65%,378
Switzerland,2018,Colombia,"2- B,S","light color, dirty, musty",72%,379
Switzerland,2018,Colombia,"2- B,S","light color, dirty, astringent",72%,380
Switzerland,2018,Colombia,"2- B,S","light color, creamy, hazelnut",72%,381
Venezuela,2014,Venezuela,"2- B,S","intense, earthy, fuel",75%,382
Venezuela,2014,Venezuela,"2- B,S","nutty, intense, leathery",74%,383
Venezuela,2014,Venezuela,"2- B,S","bright fruit, strawberry",75%,384
Venezuela,2014,Venezuela,"2- B,S","fruity, nutty, brownie",70%,385
Venezuela,2015,Venezuela,"2- B,S","intense, black licorice, nutty",74%,386
Venezuela,2015,Venezuela,"2- B,S","spicy, nutty, ends sour",75%,387
Venezuela,2015,Venezuela,"2- B,S","assertive, fruity, acidic",77%,388
Venezuela,2018,Venezuela,"2- B,S","sandy, chalky, earthy",75%,389
Venezuela,2019,Venezuela,"2- B,S","high astringent, sandy, grass",75%,390
Venezuela,2019,Venezuela,"2- B,S","raspberry, dirty, sour",70%,391
U.S.A.,2018,Venezuela,"2- B,S","poor texture, earthy",70%,392
Colombia,2014,Colombia,"4- B,S,C,L","green, vegetal, soil, fuel",69%,393
Colombia,2014,Colombia,"4- B,S,C,L","intense, spice",70%,394
Colombia,2014,Colombia,"4- B,S,C,L","intense, marshmallow, fruit",64%,395
Colombia,2014,Colombia,"4- B,S,C,L","earthy, woody, smoke",70%,396
Colombia,2015,Colombia,"3- B,S,C","rich, nutty, acidic",72%,397
Colombia,2016,Colombia,"3- B,S,C","distinct, short, dried fruit",71%,398
Colombia,2016,Colombia,"3- B,S,C","mild cocoa, astringent",74%,399
U.S.A.,2016,Honduras,"4- B,S,C,L","deep cocoa, fatty, dairy",70%,400
U.S.A.,2011,Dominican Republic,"2- B,S","rustic, sweet, one dimensional",72%,401
U.S.A.,2011,Dominican Republic,"2- B,S","rustic, gritty, sweet, fruit",65%,402
U.S.A.,2011,Dominican Republic,"2- B,S","creamy,blueberry,black pepper",66%,403
U.S.A.,2012,Dominican Republic,"2- B,S","oily, cherry, rich cocoa",72%,404
Spain,2009,Mexico,"4- B,S,C,L",distinct lemon,70%,405
Spain,2009,Mexico,"4- B,S,C,L","creamy, nutty, banana, rich",70%,406
Spain,2010,Grenada,"4- B,S,C,L","silky, ""Andes"" mint, off nutty",71%,407
Spain,2010,Madagascar,"4- B,S,C,L","creamy, earthy, dark roast",71%,408
Spain,2010,Venezuela,"4- B,S,C,L","gritty, fudge-like, nutty",71%,409
Spain,2010,Venezuela,"4- B,S,C,L","intense, roasty, rich cocoa",77%,410
Spain,2010,Ecuador,"4- B,S,C,L","creamy, mild spice, hazelnut",71%,411
Spain,2010,Papua New Guinea,"4- B,S,C,L","creamy, mild spice, cocoa",71%,412
Spain,2016,Congo,"4- B,S,C,L","rich, cherries, acidic",70%,413
U.S.A.,2020,Dominican Republic,"4- B,S,C,V","cocoa butter dominates, cocoa",72%,414
U.S.A.,2020,Peru,"4- B,S,C,V","intense,sweet,vanilla dominate",72%,415
U.S.A.,2020,Ecuador,"4- B,S,C,V","cocoa base, sweet, earthy",72%,416
Japan,2015,Madagascar,"2- B,S","sour milk, off, late tart",70%,417
Japan,2015,Peru,"2- B,S","dried fruit, sour, nutella",70%,418
Japan,2015,Vietnam,"2- B,S","balanced, dairy, spicy",70%,419
Peru,2021,Peru,"2- B,S","herbal, cocoa tea",70%,423
Peru,2021,Peru,"2- B,S","complex, floral, spicy, fruit",70%,424
Peru,2021,Peru,"2- B,S","smooth, slow, mild grape",80%,425
Peru,2021,Peru,"2- B,S",chocolate and grapes,70%,426
Ecuador,2008,Ecuador,"4- B,S,C,L","klingy, hint of fruit, very bitter",91%,427
Ecuador,2008,Ecuador,"4- B,S,C,L","cloying, fatty, bitter",82%,428
Ecuador,2008,Ecuador,"4- B,S,C,L","sandy, sweet, bold citrus",63%,429
Ecuador,2008,Ecuador,"4- B,S,C,L","dry, spicy, fruity",71%,430
Italy,2011,Sao Tome,"2- B,S",burnt up front,78%,433
Italy,2011,Trinidad,"2- B,S","burnt coffee, fatty",70%,434
Italy,2012,Venezuela,"2- B,S","nutty, ashey, coffee",80%,435
Italy,2013,Ecuador,1- B,"fatty, controlled bitter, fruit",100%,436
Italy,2014,Cuba,"2- B,S","intense, ashey, earthen",75%,437
Italy,2014,Dominican Republic,"2- B,S","intense, fatty, brownie",72%,438
Italy,2014,Blend,"2- B,S","oily surface, berry, cream",70%,439
U.S.A.,2016,Venezuela,"3- B,S,C","nutty, burnt, fuel",75%,440
U.S.A.,2016,Tanzania,"3- B,S,C","sweet, acidic, fatty",73%,441
U.S.A.,2016,Venezuela,"3- B,S,C",strong nutty with off notes,70%,442
U.S.A.,2016,Bolivia,"3- B,S,C","sandy, bold, cherry",75%,443
U.S.A.,2016,Brazil,"3- B,S,C","dairy, chocolate, mild fruit",70%,444
Colombia,2021,Colombia,"4- B,S,C,L","spice, oats, nutty, fatty",70%,445
Colombia,2021,Colombia,"4- B,S,C,L","spice, honey, fatty",70%,446
Colombia,2021,Colombia,"4- B,S,C,L","single note of cocoa, fatty",70%,447
Colombia,2021,Colombia,"4- B,S,C,L","cocoa base, fruit, creamy",70%,448
Ecuador,2008,Ecuador,"4- B,S,C,L","grainy, intense, bitter",77%,449
Ecuador,2008,Ecuador,"4- B,S,C,L","perfume, chemical off note",77%,450
Ecuador,2008,Ecuador,"4- B,S,C,L","crumbly, cinamon",77%,451
Ecuador,2008,Ecuador,"4- B,S,C,L","sweet, floral, yogurt",55%,452
Ecuador,2008,Ecuador,"4- B,S,C,L","sticky, sweet, grassy",55%,453
Ecuador,2008,Ecuador,"4- B,S,C,L","sandy, sweet, spicy",55%,454
New Zealand,2014,Papua New Guinea,"3- B,S,C","mild smoke, melon",70%,455
New Zealand,2014,Papua New Guinea,"3- B,S,C","tart, malt, mild smoke",70%,456
U.S.A.,2021,Nicaragua,"3- B,S,C","burnt blueberry, off",70%,457
U.S.A.,2021,Tanzania,"3- B,S,C","unusually tart, nutty",70%,458
U.S.A.,2021,Peru,"3- B,S,C","intense, cooked black licorice",70%,459
U.S.A.,2021,Mexico,"3- B,S,C","strong tobacco, grassy",70%,460
Costa Rica,2012,Costa Rica,"2- B,S","fatty, fruit, muted",80%,461
Costa Rica,2012,Costa Rica,"2- B,S","fatty, woody, coffee",72%,462
Costa Rica,2015,Costa Rica,"2- B,S","floral, earthy, acidic",72%,463
Costa Rica,2015,Guatemala,"3- B,S,C","woody, spicy, tobacco",72%,464
Costa Rica,2015,Costa Rica,"2- B,S","acidic, astringent, spicy",72%,465
Colombia,2016,Colombia,"3- B,S,C","sweet, marshmallow",65%,466
Colombia,2016,Colombia,"3- B,S,C","nutty, grain, late choco",65%,467
Colombia,2016,Colombia,"3- B,S,C","mild smoke, sweet edge",65%,468
Colombia,2016,Colombia,"3- B,S,C","overly sweet, mild spice",65%,469
Colombia,2016,Colombia,"3- B,S,C","sweet, grassy, nutty",65%,470
U.S.A.,2018,Blend,"2- B,S","off notes, vanilla",75%,471
Brazil,2019,Brazil,"2- B,S","sandy, intense, sweet, rich",71%,472
Brazil,2019,Brazil,"2- B,S","molasses, rich, vegetal",65%,473
U.S.A.,2013,Peru,"3- B,S,C","sandy, fruity, acidic, metallic",70%,474
U.S.A.,2013,Peru,"3- B,S,C","molasses, cocoa",70%,475
U.S.A.,2013,Bolivia,"3- B,S,C","sandy, tobacco, molasses",70%,476
U.S.A.,2013,Venezuela,"3- B,S,C",mild metallic and spice,72%,477
U.S.A.,2013,Venezuela,"3- B,S,C","sandy, nutty, cocoa",70%,478
U.S.A.,2013,Nicaragua,"3- B,S,C","sandy, molasses, spice",72%,479
U.S.A.,2013,Dominican Republic,"2- B,S","sandy, mild intensity, fruit",73%,480
U.S.A.,2014,Dominican Republic,"3- B,S,C","soapy, earthy",70%,481
U.S.A.,2014,Colombia,"3- B,S,C","caramel, molasses, fruit",72%,482
U.S.A.,2014,Colombia,"3- B,S,C","caramel, sweet, delicate",76%,483
U.S.A.,2015,Honduras,"3- B,S,C","roasty, black pepper, nutty",72%,484
U.S.A.,2015,Venezuela,"3- B,S,C","nutty, floral, roasty",72%,485
U.S.A.,2015,Dominican Republic,"3- B,S,C","med roast, grassy, dried fruit",70%,486
U.S.A.,2016,Belize,"3- B,S,C","bright fruit, molasses, nutty",72%,487
U.S.A.,2017,Venezuela,"2- B,S","nutty, roasty, caramel",70%,488
U.S.A.,2019,Puerto Rico,"3- B,S,C","smooth, mellow, floral",70%,489
U.S.A.,2019,Mexico,"3- B,S,C","smooth, caramel, dried fruit",70%,490
U.S.A.,2021,Peru,"3- B,S,C","complex, strawberry, floral",70%,491
U.S.A.,2021,Venezuela,"3- B,S,C","mild strawberry, cocoa, acidic",72%,492
U.S.A.,2014,Ecuador,"3- B,S,C","burnt rubber, leather",70%,493
U.S.A.,2014,Peru,"3- B,S,C","mild fruit, off notes",70%,494
U.S.A.,2014,Venezuela,"3- B,S,C","nutty, roasty, smokey",70%,495
U.S.A.,2014,Bolivia,"3- B,S,C","creamy, woody, slight cherry",70%,496
Canada,2014,Uganda,"3- B,S,C","sandy, roasty, coffee",70%,498
Canada,2021,Madagascar,"3- B,S,C","cherry, sour milk, brownie",70%,499
Canada,2021,Belize,"3- B,S,C","vanilla, sour, bubblegum",70%,500
Canada,2021,Peru,"3- B,S,C","dominate grape, plastic off note",72%,501
France,2017,Bolivia,"2- B,S","dark roast, rich cocoa",74%,502
France,2018,Venezuela,"3- B,S,C","butter, roasty, cocoa, nutty",68%,503
U.S.A.,2016,Belize,"3- B,S,C","slightly metallic, woody, berry",70%,504
Ecuador,2008,Ecuador,"3- B,S,C","dry, sandy, cocoa",75%,505
Ecuador,2010,Ecuador,"3- B,S,C","very sweet, very spicey",55%,506
U.S.A.,2014,Costa Rica,"3- B,S,C","green, leafy",70%,507
U.S.A.,2018,Peru,"3- B,S,C","spicy, chocolatey, atypical",72%,508
U.S.A.,2019,Ecuador,"3- B,S,C","sl. chalky, floral, pure",72%,509
U.S.A.,2021,Colombia,"3- B,S,C","early fruit, earthy, alcohol",83%,510
U.S.A.,2021,Dominican Republic,"3- B,S,C","dried fruit, banana, sweet, vanilla",69%,511
U.K.,2015,Ecuador,"3- B,S,C","floral, earthy",70%,513
Germany,2014,Belize,"2- B,S","bland, mild choco & leather",75%,514
Germany,2014,Belize,"2- B,S","powdery, bland, mild choco",82%,515
South Korea,2015,Vietnam,"2- B,S","roasty, sour milk, off note",70%,516
South Korea,2015,Malaysia,"2- B,S","high roast, banana raspberry",70%,517
Hungary,2019,Nicaragua,"3- B,S,C","grassy, rubbery",72%,518
Hungary,2019,Dominican Republic,"3- B,S,C","chunky, spicy, rubbery",71%,519
U.K.,2015,Peru,"2- B,S","flat, metallic, floral",65%,520
U.K.,2015,Dominican Republic,"2- B,S","spicy, earthy off notes",80%,521
U.K.,2015,Peru,"2- B,S","flat, floral, medicinal",65%,522
U.K.,2019,Madagascar,"2- B,S","sugar dominates, molasses",74%,523
U.S.A.,2011,Madagascar,"2- B,S","mild, fruity then nutty",70%,524
U.S.A.,2011,Venezuela,"2- B,S","mild, earthy, grassy",68%,525
U.S.A.,2016,Peru,"2- B,S*","sticky, bitter, molasses, tart",90%,526
U.S.A.,2016,Blend,"2- B,S*","sticky, coconut, sour, bitter",80%,527
U.S.A.,2016,Bolivia,"2- B,S","gritty, molasses, earthy",70%,528
U.S.A.,2016,Uganda,"2- B,S","roasty, cocoa, molasses",70%,529
U.S.A.,2016,Nicaragua,"2- B,S","nutty, roasty, bitter",80%,530
U.S.A.,2016,Dominican Republic,"2- B,S","gritty, sweet, molasses",60%,531
U.S.A.,2016,Dominican Republic,"2- B,S","sandy, rich, roasty, earthy",75%,532
U.S.A.,2016,Venezuela,"2- B,S","gritty, nutty, caramel",80%,533
U.S.A.,2016,Ecuador,"2- B,S","molasses, tart, floral",70%,534
U.S.A.,2014,Peru,"3- B,S*,C","unrefined, odd, vegetal",74%,535
Amsterdam,2015,Dominican Republic,"3- B,S,C","earthy, coffee, mild, tang",75%,536
Amsterdam,2015,Congo,"3- B,S,C","bold, rich cocoa, coffee",68%,537
Amsterdam,2015,Peru,"3- B,S,C","nuts, coffee, peanut butter",80%,538
Scotland,2012,Ecuador,"3- B,S,C","sandy, fruity, burnt",82%,539
Scotland,2012,Peru,"3- B,S,C","sandy, sweet, cocoa",68%,540
Scotland,2012,Madagascar,"3- B,S,C","tart, bright fruit, sour coffee",72%,541
Scotland,2013,Peru,"2- B,S","intense orange, floral notes",70%,542
Scotland,2015,Peru,"3- B,S,C","floral, orange, cocoa",69%,543
Scotland,2015,Venezuela,"2- B,S","mild bitter, fruit, spice",80%,544
Scotland,2021,Venezuela,"3- B,S,C","nutty, mild dried fruit, sandy, off",70%,545
U.S.A.,2018,Dominican Republic,"3- B,S,C","spicy, banana",72%,546
Belgium,2019,India,"3- B,S,C","nutty, honey, grassy",70%,547
Canada,2014,Mexico,"4- B,S,C,V","fatty, vanilla, mass market",70%,548
U.S.A.,2018,India,"3- B,S,C","sandy, tart, ham, sweet",63%,549
U.S.A.,2018,Guatemala,"2- B,S","high astringent, fruit, roasty",76%,550
U.S.A.,2018,Peru,"2- B,S","sandy, sweet",70%,551
Canada,2016,Mexico,"3- B,S,C","grainy, sweet, whole bean",75%,554
U.S.A.,2021,Guatemala,"2- B,S","melon, mild spice, cocoa",70%,555
U.S.A.,2021,Dominican Republic,"2- B,S","hazelnut, bold, strong roast",73%,556
U.S.A.,2021,Belize,"2- B,S",full flavor w/ dominant roast,70%,557
Spain,2007,Ecuador,"4- B,S,C,L","earthy, floral, mild bitter",71%,558
Spain,2007,Grenada,"4- B,S,C,L","sweet, cardboard",71%,559
Spain,2007,Blend,"4- B,S,C,L","sweet, marshmallow",70%,560
Spain,2008,Venezuela,"4- B,S,C,L","long lasting, cocoa base",71%,561
Spain,2009,Blend,"4- B,S,C,L","chewy, fudge-like, perfume",60%,562
Spain,2009,Blend,"4- B,S,C,L","oily, grassy, minty",75%,563
Spain,2010,Mexico,"4- B,S,C,L","earthy, sweet",71%,564
Spain,2010,Madagascar,"4- B,S,C,L","spicey, cocoa",71%,565
U.S.A.,2015,Mexico,"2- B,S","coarse, sweet, sour, leathery",65%,566
U.S.A.,2015,Mexico,"2- B,S","gritty, mild bitter, off notes",75%,567
Canada,2009,Venezuela,"4- B,S,C,V","dry, ashey, medicinal",80%,568
Canada,2009,Mexico,"4- B,S,C,V","fatty, cigarette butt, coffee",70%,569
Canada,2009,Brazil,"4- B,S,C,V","oily, muted, fruity",70%,570
Canada,2009,Brazil,"4- B,S,C,V","roasty, tart, slight burnt",80%,571
Canada,2009,Venezuela,"4- B,S,C,V","slow, fatty, subdued, nutty",70%,572
U.S.A.,2020,Guatemala,"2- B,S","rich, raisiny, molasses",70%,573
U.S.A.,2020,Venezuela,"2- B,S","mild lemon, cocoa, crisp nibs",75%,574
U.S.A.,2020,Belize,"2- B,S","fruity, honey, cocoa, roasty",70%,575
U.S.A.,2020,Madagascar,"2- B,S","cherry, perfectly balanced roast",67%,576
U.S.A.,2021,Tanzania,"2- B,S","roasty, cocoa, sandy, coffee AT",75%,577
U.S.A.,2021,Bolivia,"2- B,S","hint of lemon, classic brownie",75%,578
Martinique,2013,Martinique,"4- B,S,V,L","gritty, sweet, hot cocoa",42%,579
U.S.A.,2018,Peru,"2- B,S","sweet, sandy, spicy",70%,580
U.S.A.,2018,Peru,"3- B,S,C","bold, spice, hit of anise",75%,581
U.S.A.,2019,Vietnam,"3- B,S,C","roasty, hammy, nutty",72%,582
U.S.A.,2019,Costa Rica,"3- B,S,C","cocoa, woody, basic",70%,583
U.S.A.,2019,Ecuador,"3- B,S,C","rich cocoa, floral, acidic",73%,584
U.S.A.,2019,Tanzania,"3- B,S,C","basic cocoa,mild fruit, sweet",72%,585
U.S.A.,2019,Dominican Republic,"3- B,S,C","smooth, spicy, cocoa",72%,586
U.S.A.,2019,Brazil,"3- B,S,C","creamy, dried fruit, nutty",70%,587
U.S.A.,2009,Venezuela,"5- B,S,C,V,L","sweet, peanut butter",61%,589
U.S.A.,2010,Venezuela,"3- B,S,C","red berry, bitter, roasty, sour",77%,590
Sao Tome,2008,Blend,"3- B,S,C","bitter, light lime, sour",80%,592
Sao Tome,2008,Blend,"3- B,S,C","dry, sandy, cocoa, coffee",75%,593
Sao Tome,2010,Blend,"2- B,S","short,mild cocoa, mild fruit",73.5%,594
U.S.A.,2021,Dominican Republic,"3- B,S,C","spice, earthy, honey, sour",70%,595
U.S.A.,2021,Haiti,"3- B,S,C","blueberry, sweet edge, pure",79%,596
U.S.A.,2015,Ecuador,"2- B,S","creamy, floral, bourbon",73%,597
Canada,2020,Peru,"3- B,S,C","balanced, anise, creamy",70%,598
St. Lucia,2019,St. Lucia,"4- B,S,C,V","raw, dirty, metallic, dry",70%,599
U.S.A.,2021,Peru,"3- B,S,C","molasses, dried fruit, tart, off",68%,600
U.S.A.,2021,Madagascar,"2- B,S","Rich cocoa, tart, papery",77%,601
U.S.A.,2021,Colombia,"3- B,S,C","sweet, cocoa, cardboard off",70%,602
U.S.A.,2015,Ecuador,"2- B,S","bold, roasty, sticky, brownie",76%,608
U.S.A.,2016,Vietnam,"2- B,S","woody, nutty, off sour note",78%,609
U.S.A.,2021,Philippines,"3- B,S,C","cocoa, grass, off notes",70%,610
U.S.A.,2021,Ivory Coast,"3- B,S,C","off, harsh, dirty, chemical",70%,611
U.S.A.,2021,Peru,"3- B,S,C","spicy, vanilla, sweet, cocoa",68%,612
U.S.A.,2021,Tanzania,"3- B,S,C","cocoa, mild fruit",75%,613
Germany,2007,Madagascar,"3- B,S,C","creamy, woodsy, cocoa",72%,614
Germany,2008,Mexico,"3- B,S,C","intense, tangy, berry, sour",72%,615
Germany,2008,Venezuela,"3- B,S,C","lemon, sour, slight metallic",72%,616
Germany,2009,Peru,"3- B,S,C","creamy, buttery, non descript",72%,617
Germany,2009,Peru,"3- B,S,C","woodsy, nutty",62%,618
Germany,2009,Venezuela,"3- B,S,C","slow, less intense berry, nutty",70%,619
Germany,2009,Venezuela,"3- B,S,C","dark berry, winey",70%,620
Germany,2010,Ecuador,"3- B,S,C","harsh aroma, melon floral,off",72%,621
Germany,2010,Venezuela,"3- B,S,C","fruity, bland",70%,622
Germany,2010,Trinidad,"3- B,S,C","dry, spicy, woody",72%,623
Germany,2010,Grenada,"3- B,S,C",coffee and cocoa,72%,624
Germany,2010,Jamaica,"3- B,S,C","oily, fatty, rum",72%,625
Germany,2010,Venezuela,"3- B,S,C","oily, coffee",72%,626
Germany,2012,Ghana,"3- B,S,C","silky, minty",85%,628
Germany,2012,Madagascar,"3- B,S,C","sandy, sweet, tart red berry",70%,629
Germany,2012,Blend,"3- B,S,C","creamy, nutty, cocoa",72%,630
Germany,2013,Ecuador,"4- B,S,C,L","oily, fragrant, spciy",65%,631
Germany,2017,Ghana,"3- B,S,C","oily, rich cocoa, nutty",75%,632
Australia,2012,Tanzania,"3- B,S,C","spice, roasty, off fatty note",75%,634
Australia,2012,Brazil,"3- B,S,C","sandy, sweet, smokey",65%,635
Australia,2012,Fiji,"3- B,S,C","acidic, sweet, cucumber",67%,636
Australia,2012,Vanuatu,"3- B,S,C","sandy, sweet, spicy, roasty",64%,637
Australia,2012,Papua New Guinea,"3- B,S,C","sandy, sweet, nutty",75%,638
Australia,2014,Papua New Guinea,"3- B,S,C","true to sugar, molasses",70%,639
Australia,2014,Vanuatu,"3- B,S,C",banana nut,83%,640
U.S.A.,2016,Ecuador,"3- B,S,C","oily, mild bitter, nutty, fruit",85%,641
U.S.A.,2016,Ecuador,"3- B,S,C","creamy, complex, fruity",73%,642
U.S.A.,2020,Dominican Republic,"2- B,S","deep cherry, earthy, rubbery",70%,643
U.S.A.,2020,Colombia,"2- B,S","nutty, citrus",70%,644
U.S.A.,2020,Ecuador,"2- B,S","bold, black tea, floral, banana",70%,645
U.S.A.,2020,Honduras,"2- B,S","banana, spicy, grassy",70%,646
U.S.A.,2021,India,"2- B,S","sticky, cocoa, honey",70%,647
U.S.A.,2020,Guatemala,"3- B,S,C","sandy, sweet, basic cocoa base",70%,648
U.S.A.,2020,Haiti,"3- B,S,C",rich malt,70%,649
U.S.A.,2020,Belize,"3- B,S,C","raspberry, cocoa",75%,650
U.S.A.,2020,Mexico,"3- B,S,C","raisins, honey, molassses",70%,651
Mexico,2021,Mexico,"2- B,S","deep cocoa, fruit, melon",73%,652
Australia,2011,Australia,"5- B,S,C,V,L","vanilla, banana, citrus",70%,653
Australia,2015,Australia,"3- B,S,C","sandy, candy like vanilla, off",70%,654
U.S.A.,2017,Dominican Republic,"2- B,S","hammy, sour, astringent",72%,655
U.K.,2015,Grenada,"3- B,S,C","off, pungent, intense",70%,656
U.K.,2015,Nicaragua,"3- B,S,C","oily, grapes, pungent",70%,657
U.K.,2015,Trinidad,"3- B,S,C","floral, sour, synthetic, off",70%,658
U.K.,2015,Ecuador,"3- B,S,C","floral, banana",70%,659
U.K.,2018,Blend,"4- B,S,C,L","sweet, vinegar",65%,660
U.S.A.,2021,Puerto Rico,"4- B,S,C,L","harsh woody/green, cocoa base",68%,661
U.S.A.,2021,India,"4- B,S,C,L","fresh fruit, sour cherry, roasty",72%,662
U.S.A.,2021,Peru,"4- B,S,C,L","raisiny, slight anise, roasty",72%,663
U.S.A.,2012,Costa Rica,"2- B,S","dried fruit, tannic",70%,664
U.S.A.,2012,Colombia,"2- B,S","grassy, green, candy spice",70%,665
U.S.A.,2012,Dominican Republic,"2- B,S","spicy, fudgey",70%,666
U.S.A.,2013,Venezuela,"2- B,S","acidic, sour, cocoa",70%,667
U.S.A.,2013,Venezuela,"2- B,S","licorice, sour, rich cocoa",70%,668
U.S.A.,2013,Venezuela,"2- B,S","roasty, oreo shell, coffee",70%,669
U.S.A.,2013,Papua New Guinea,"2- B,S","mild smoke, raspberry,cocoa",70%,670
U.S.A.,2014,Liberia,"2- B,S","roasty, spicy, nutty",70%,671
U.S.A.,2014,Belize,"2- B,S","heavy roast, blackberry",70%,672
U.S.A.,2014,Ecuador,"2- B,S","gummy, nutty, bourbon",70%,673
U.S.A.,2014,Dominican Republic,"2- B,S","cherry, rich choco",70%,674
U.S.A.,2015,Belize,"2- B,S","intense, roasty, coffee, raisin",70%,675
U.S.A.,2016,Dominican Republic,"2- B,S","cherry, rich choco",70%,676
U.S.A.,2017,Costa Rica,"2- B,S","cocoa, sour, toffee, earthy",70%,677
U.S.A.,2018,Sierra Leone,"2- B,S","vegetal, high astringency",70%,678
U.S.A.,2018,Honduras,"2- B,S","nutty, moderate acidity",70%,679
U.S.A.,2018,India,"2- B,S","ripe orange, citrus",70%,680
U.S.A.,2019,Vietnam,"2- B,S","green apple, sticky",70%,681
U.S.A.,2021,Guatemala,"2- B,S","pungent, woody, choco pudding",70%,682
U.S.A.,2021,India,"2- B,S","pungent, sour, tart, intense",70%,683
U.S.A.,2021,Peru,"2- B,S","grape, pungent",70%,684
U.S.A.,2021,India,"2- B,S","orange soda, sour",70%,685
U.S.A.,2021,Tanzania,"2- B,S","dairy, honey, cocoa",70%,686
U.S.A.,2021,Dominican Republic,"2- B,S","faint fruit, basic fudgey",70%,687
U.S.A.,2021,Brazil,"2- B,S",distinct choco and graham,70%,688
U.S.A.,2011,Dominican Republic,"2- B,S","grassy, fruity, brownie",70%,689
U.S.A.,2011,Madagascar,"2- B,S","brownie, red berry",70%,690
U.S.A.,2011,Tanzania,"2- B,S",cocoa flavor dominates,70%,691
U.S.A.,2021,Dominican Republic,"2- B,S","light caramel, sl. dry, earthy",70%,692
Guatemala,2009,Guatemala,"4- B,S,C,V","dark woody, plum, astringent",75%,693
Guatemala,2009,Guatemala,"4- B,S,C,V","wood, holiday spice, soap",60%,694
Guatemala,2011,Guatemala,"4- B,S,C,V","oily, dried fruit, vanilla",60%,695
Guatemala,2012,Venezuela,"4- B,S,C,V","gummy, fatty, caramel",75%,696
Guatemala,2012,Guatemala,"2- B,S","nutty, ashey, spicy pepper",70%,697
Guatemala,2012,Guatemala,"2- B,S",spicy,70%,698
Guatemala,2012,Madagascar,"2- B,S","oily, toffee, hints of fruit",70%,699
Guatemala,2012,Guatemala,"2- B,S","sweet spice, floral",70%,700
Guatemala,2014,Guatemala,"4- B,S,C,V","fatty, sunflower, peanutbutter",82%,701
U.S.A.,2016,Venezuela,"2- B,S","nut, tobacco, burnt, off notes",72%,702
U.S.A.,2016,Vietnam,"2- B,S","raisins, astringent",72%,703
U.S.A.,2016,Blend,"2- B,S","floral, licorice, roasty",70%,704
Belgium,2019,Peru,"4- B,S,C,L","muted, creamy, grapes, fatty",72%,705
Belgium,2019,Vietnam,"4- B,S,C,L","muted, creamy, basic cocoa",70%,706
U.S.A.,2015,Madagascar,"3- B,S,C","sweet, strong sour, acidic",70%,707
U.S.A.,2015,Tanzania,"3- B,S,C","intense, sweet, brownie",70%,708
U.S.A.,2015,Venezuela,"3- B,S,C","roasty, nutty, sweet",70%,709
U.S.A.,2015,Ecuador,"3- B,S,C","bold, floral, rum",70%,710
U.S.A.,2016,Bolivia,"3- B,S,C","mild cherry, fatty",75%,711
U.S.A.,2012,Blend,"4- B,S,C,L","nice melt, odd rubber notes",58%,712
U.S.A.,2013,Ghana,"4- B,S,C,L","vanilla, fatty, basic cocoa",70%,713
U.S.A.,2013,Dominican Republic,"4- B,S,C,L","chalky, vanilla, caramel",70%,714
U.S.A.,2013,Venezuela,"4- B,S,C,L","fatty, powdery, nut, sl. Burnt",70%,715
Brazil,2015,Brazil,"3- B,S,C","texture issues, brownie",72%,716
Brazil,2015,Brazil,"3- B,S,C","one dimensional, brownie",65%,717
South Africa,2016,Uganda,"3- B,S,C","high roast, intense, fatty",70%,718
